No,;Time;Source;Destination;Protocol;Length;Info;;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
1;0;54,239,21,125;192,168,43,157;TCP;54;443  >  50222 [ACK] Seq=1 Ack=1 Win=596 Len=0;;;;0;0;0;;-0,891429;0,891429;1,782858
2;0;54,239,21,125;192,168,43,157;TCP;54;443  >  50229 [ACK] Seq=1 Ack=1 Win=480 Len=0;;;;0;0,891429;0,891429;;0,348904;0,542525;0,193621
3;0,891429;192,168,43,157;54,239,23,88;TCP;55;50257  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1 [TCP segment of a reassembled PDU];;;;0,891429;1,433954;0,542525;;0,404672;0,137853;-0,266819
4;1,433954;54,239,23,88;192,168,43,157;TCP;54;443  >  50257 [ACK] Seq=1 Ack=2 Win=456 Len=0;;;;1,433954;1,571807;0,137853;;0,065772;0,072081;0,006309
5;1,571807;192,168,43,157;114,4,168,117;TCP;55;50152  >  80 [ACK] Seq=1 Ack=1 Win=258 Len=1;;;;1,571807;1,643888;0,072081;;0,044299;0,027782;-0,016517
6;1,643888;114,4,168,117;192,168,43,157;TCP;66;80  >  50152 [ACK] Seq=1 Ack=2 Win=237 Len=0 SLE=1 SRE=2;;;;1,643888;1,67167;0,027782;;-0,014089;0,041871;0,05596
7;1,67167;192,168,43,157;114,4,168,117;TCP;55;50153  >  80 [ACK] Seq=1 Ack=1 Win=258 Len=1;;;;1,67167;1,713541;0,041871;;-0,578046;0,619917;1,197963
8;1,713541;114,4,168,117;192,168,43,157;TCP;66;80  >  50153 [ACK] Seq=1 Ack=2 Win=237 Len=0 SLE=1 SRE=2;;;;1,713541;2,333458;0,619917;;0,548512;0,071405;-0,477107
11;2,333458;192,168,43,157;74.125.200.190;TLSv1,2;969;Application Data;;;;2,333458;2,404863;0,071405;;0,033865;0,03754;0,003675
15;2,404863;74.125.200.190;192,168,43,157;TCP;54;443  >  50173 [ACK] Seq=1 Ack=916 Win=810 Len=0;;;;2,404863;2,442403;0,03754;;0,037335;0,000205;-0,03713
16;2,442403;74.125.200.190;192,168,43,157;TLSv1,2;294;Application Data;;;;2,442403;2,442608;0,000205;;-2,80E-05;0,000233;0,000261
17;2,442608;74.125.200.190;192,168,43,157;TLSv1,2;124;Application Data;;;;2,442608;2,442841;0,000233;;-0,001772;0,002005;0,003777
18;2,442841;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=916 Ack=311 Win=260 Len=0;;;;2,442841;2,444846;0,002005;;-0,049403;0,051408;0,100811
19;2,444846;74.125.200.190;192,168,43,157;TLSv1,2;172;Application Data;;;;2,444846;2,496254;0,051408;;-0,007172;0,05858;0,065752
20;2,496254;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=916 Ack=429 Win=259 Len=0;;;;2,496254;2,554834;0,05858;;0,057531;0,001049;-0,056482
22;2,554834;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,554834;2,555883;0,001049;;0,000748;0,000301;-0,000447
23;2,555883;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,555883;2,556184;0,000301;;0,000142;0,000159;1,70E-05
24;2,556184;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,556184;2,556343;0,000159;;-0,003266;0,003425;0,006691
25;2,556343;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=916 Ack=3149 Win=260 Len=0;;;;2,556343;2,559768;0,003425;;0,002804;0,000621;-0,002183
27;2,559768;74.125.200.190;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;2,559768;2,560389;0,000621;;0,000481;0,00014;-0,000341
28;2,560389;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=916 Ack=7229 Win=260 Len=0;;;;2,560389;2,560529;0,00014;;-0,00022;0,00036;0,00058
29;2,560529;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,560529;2,560889;0,00036;;-0,008939;0,009299;0,018238
30;2,560889;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=916 Ack=8589 Win=260 Len=0;;;;2,560889;2,570188;0,009299;;0,008533;0,000766;-0,007767
31;2,570188;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,570188;2,570954;0,000766;;8,80E-05;0,000678;0,00059
32;2,570954;74.125.200.190;192,168,43,157;TLSv1,2;6854;Application Data, Application Data, Application Data, Application Data, Application Data;;;;2,570954;2,571632;0,000678;;-0,000902;0,00158;0,002482
33;2,571632;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=916 Ack=16749 Win=260 Len=0;;;;2,571632;2,573212;0,00158;;-0,007886;0,009466;0,017352
34;2,573212;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,573212;2,582678;0,009466;;0,009198;0,000268;-0,00893
